dataset,population,region,sexe,age,statut_residence,niveau_instruction,handicap,completude_pct
Adultes,18+,Yaadga,Homme,35,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Femme,26,Hôte,Secondaire/Lycée,Non,99.5
Adultes,18+,Koulsé,Femme,43,Hôte,Aucun,Oui,99.4
Adultes,18+,Koulsé,Femme,29,Hôte,Post-primaire,Non,99.8
Adultes,18+,Koulsé,Femme,49,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Femme,30,Hôte,Primaire,Non,99.8
Adultes,18+,Yaadga,Femme,40,Hôte,Aucun,Non,99.7
Adultes,18+,Yaadga,Femme,31,Hôte,Aucun,Non,99.5
Adultes,18+,Yaadga,Femme,33,Hôte,Post-primaire,Non,99.5
Adultes,18+,Yaadga,Femme,36,Hôte,Aucun,Non,99.8
Adultes,18+,Yaadga,Femme,33,Hôte,Aucun,Non,99.8
Adultes,18+,Yaadga,Femme,40,Hôte,Aucun,Non,99.8
Adultes,18+,Yaadga,Femme,56,Hôte,Post-primaire,Non,99.7
Adultes,18+,Yaadga,Homme,66,Hôte,Aucun,Non,99.4
Adultes,18+,Yaadga,Homme,52,Hôte,Aucun,Non,99.2
Adultes,18+,Yaadga,Homme,37,Hôte,Aucun,Non,99.8
Adultes,18+,Yaadga,Homme,47,Hôte,Universitaire,Non,99.8
Adultes,18+,Koulsé,Homme,50,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,50,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,55,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,36,Hôte,Primaire,Non,99.8
Adultes,18+,Koulsé,Homme,40,Hôte,Alphabétisation,Non,99.8
Adultes,18+,Yaadga,Homme,33,Hôte,Aucun,Non,99.8
Adultes,18+,Yaadga,Femme,46,PDI,Alphabétisation,Non,99.7
Adultes,18+,Yaadga,Femme,35,PDI,Aucun,Non,99.5
Adultes,18+,Yaadga,Femme,53,PDI,Aucun,Non,99.4
Adultes,18+,Koulsé,Homme,45,Hôte,Primaire,Non,99.5
Adultes,18+,Koulsé,Homme,42,PDI,Primaire,Non,99.5
Adultes,18+,Koulsé,Homme,45,PDI,Aucun,Oui,99.5
Adultes,18+,Koulsé,Homme,29,PDI,Primaire,Non,99.1
Adultes,18+,Koulsé,Homme,60,PDI,Aucun,Non,99.5
Adultes,18+,Koulsé,Homme,31,PDI,Primaire,Non,99.5
Adultes,18+,Nakambé,Homme,36,Hôte,Aucun,Non,99.8
Adultes,18+,Nakambé,Homme,45,Hôte,Aucun,Non,99.8
Adultes,18+,Nakambé,Homme,58,Hôte,Aucun,Non,99.8
Adultes,18+,Nakambé,Homme,47,Hôte,Primaire,Non,99.8
Adultes,18+,Nakambé,Homme,37,Hôte,Secondaire/Lycée,Non,99.8
Adultes,18+,Nakambé,Homme,31,Hôte,Alphabétisation,Oui,99.8
Adultes,18+,Goulmou,Femme,19,Hôte,Aucun,Non,99.2
Adultes,18+,Goulmou,Femme,44,Hôte,Aucun,Non,99.4
Adultes,18+,Goulmou,Femme,40,Hôte,Aucun,Non,99.4
Adultes,18+,Goulmou,Femme,45,Hôte,Aucun,Oui,99.1
Adultes,18+,Goulmou,Femme,34,Hôte,Aucun,Non,99.1
Adultes,18+,Goulmou,Femme,52,Hôte,Aucun,Non,98.9
Adultes,18+,Goulmou,Homme,58,Hôte,Aucun,Non,99.5
Adultes,18+,Goulmou,Homme,37,Hôte,Primaire,Non,99.2
Adultes,18+,Goulmou,Homme,43,Hôte,Aucun,Non,99.4
Adultes,18+,Nakambé,Femme,30,PDI,Secondaire/Lycée,Oui,99.4
Adultes,18+,Nakambé,Femme,36,PDI,Secondaire/Lycée,Non,99.5
Adultes,18+,Nakambé,Femme,38,PDI,Aucun,Non,99.4
Adultes,18+,Nakambé,Femme,27,PDI,Aucun,Non,99.4
Adultes,18+,Nakambé,Femme,42,PDI,Aucun,Non,99.4
Adultes,18+,Nakambé,Femme,41,PDI,Aucun,Oui,99.7
Adultes,18+,Nakambé,Homme,27,PDI,Aucun,Non,99.7
Adultes,18+,Nakambé,Femme,27,Hôte,Secondaire/Lycée,Non,99.4
Adultes,18+,Koulsé,Homme,50,Hôte,Alphabétisation,Non,99.8
Adultes,18+,Koulsé,Homme,55,Hôte,Aucun,Oui,99.8
Adultes,18+,Koulsé,Homme,40,Hôte,Primaire,Non,99.5
Adultes,18+,Koulsé,Homme,36,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,68,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Homme,55,Hôte,Alphabétisation,Non,99.8
Adultes,18+,Yaadga,Homme,56,PDI,Aucun,Non,99.7
Adultes,18+,Yaadga,Homme,58,PDI,Alphabétisation,Non,99.8
Adultes,18+,Yaadga,Femme,37,PDI,Aucun,Non,99.4
Adultes,18+,Koulsé,Homme,40,Hôte,École Coranique,Non,99.4
Adultes,18+,Koulsé,Homme,56,Hôte,École Coranique,Non,99.4
Adultes,18+,Koulsé,Homme,56,PDI,Aucun,Non,99.4
Adultes,18+,Koulsé,Homme,55,PDI,Aucun,Non,99.5
Adultes,18+,Nakambé,Femme,25,PDI,Aucun,Non,99.2
Adultes,18+,Nakambé,Femme,49,PDI,Aucun,Non,99.2
Adultes,18+,Nakambé,Femme,59,PDI,Aucun,Non,99.1
Adultes,18+,Nakambé,Femme,30,Hôte,Post-primaire,Non,99.5
Adultes,18+,Nakambé,Femme,36,Hôte,Aucun,Non,99.2
Adultes,18+,Nakambé,Femme,47,Hôte,Aucun,Non,99.2
Adultes,18+,Nakambé,Femme,36,Hôte,Aucun,Non,99.1
Adultes,18+,Nakambé,Femme,33,Hôte,Primaire,Non,99.1
Adultes,18+,Koulsé,Femme,23,Hôte,Secondaire/Lycée,Non,99.4
Adultes,18+,Koulsé,Femme,34,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Femme,35,Hôte,Primaire,Non,99.1
Adultes,18+,Koulsé,Femme,53,PDI,Aucun,Non,99.7
Adultes,18+,Koulsé,Femme,27,Hôte,Post-primaire,Non,99.2
Adultes,18+,Yaadga,Femme,28,Hôte,Secondaire/Lycée,Non,98.9
Adultes,18+,Yaadga,Femme,55,PDI,Aucun,Non,99.4
Adultes,18+,Koulsé,Femme,40,Hôte,Aucun,Non,99.4
Adultes,18+,Yaadga,Femme,30,PDI,Primaire,Oui,97.8
Adultes,18+,Yaadga,Femme,70,PDI,Aucun,Non,99.4
Adultes,18+,Yaadga,Femme,40,PDI,Aucun,Non,99.1
Adultes,18+,Koulsé,Femme,72,Hôte,Aucun,Non,99.8
Adultes,18+,Yaadga,Homme,38,Hôte,Secondaire/Lycée,Non,99.4
Adultes,18+,Koulsé,Femme,35,Hôte,Aucun,Oui,99.5
Adultes,18+,Koulsé,Femme,22,Hôte,Primaire,Oui,99.7
Adultes,18+,Yaadga,Homme,66,Hôte,Aucun,Non,99.5
Adultes,18+,Koulsé,Femme,40,PDI,Aucun,Non,99.5
Adultes,18+,Yaadga,Homme,35,Hôte,Alphabétisation,Non,99.4
Adultes,18+,Yaadga,Homme,37,Hôte,Aucun,Non,98.7
Adultes,18+,Yaadga,Homme,42,Hôte,Primaire,Non,99.1
Adultes,18+,Nakambé,Homme,32,Hôte,Aucun,Non,99.8
Adultes,18+,Yaadga,Femme,38,PDI,Aucun,Non,99.4
Adultes,18+,Koulsé,Femme,22,Hôte,Primaire,Non,99.5
Adultes,18+,Koulsé,Femme,55,Hôte,Aucun,Non,99.2
Adultes,18+,Koulsé,Femme,41,Hôte,Primaire,Non,99.8
Adultes,18+,Koulsé,Femme,64,Hôte,Aucun,Non,99.7
Adultes,18+,Koulsé,Femme,53,PDI,École Coranique,Non,99.8
Adultes,18+,Yaadga,Homme,46,Hôte,Aucun,Non,99.8
Adultes,18+,Nakambé,Homme,55,PDI,Primaire,Non,99.5
Adultes,18+,Nakambé,Homme,51,PDI,Aucun,Non,99.5
Adultes,18+,Nakambé,Homme,56,Hôte,Primaire,Non,99.4
Adultes,18+,Nakambé,Homme,32,PDI,Primaire,Non,99.5
Adultes,18+,Nakambé,Homme,31,PDI,Primaire,Non,99.7
Adultes,18+,Nakambé,Homme,49,PDI,Primaire,Non,99.5
Adultes,18+,Nakambé,Homme,45,PDI,Primaire,Non,99.7
Adultes,18+,Nakambé,Homme,32,PDI,Aucun,Non,99.2
Adultes,18+,Nakambé,Homme,33,Hôte,Aucun,Non,99.5
Adultes,18+,Nakambé,Homme,27,PDI,Primaire,Non,99.5
Adultes,18+,Nakambé,Femme,43,PDI,Alphabétisation,Non,99.5
Adultes,18+,Nakambé,Femme,27,PDI,Post-primaire,Non,99.5
Adultes,18+,Nakambé,Femme,27,PDI,Aucun,Non,99.8
Adultes,18+,Nakambé,Femme,65,PDI,Aucun,Non,99.8
Adultes,18+,Nakambé,Femme,51,PDI,Aucun,Oui,99.7
Adultes,18+,Nakambé,Femme,55,PDI,Aucun,Oui,99.5
Adultes,18+,Nakambé,Femme,52,PDI,Aucun,Non,99.8
Adultes,18+,Yaadga,Homme,40,Hôte,Aucun,Non,99.5
Adultes,18+,Yaadga,Homme,65,PDI,Aucun,Non,99.5
Adultes,18+,Yaadga,Homme,63,PDI,Aucun,Non,99.5
Adultes,18+,Koulsé,Femme,30,Hôte,Secondaire/Lycée,Non,99.8
Adultes,18+,Koulsé,Femme,23,Hôte,Secondaire/Lycée,Non,99.8
Adultes,18+,Koulsé,Femme,51,Hôte,École Coranique,Non,99.8
Adultes,18+,Koulsé,Femme,46,Hôte,Aucun,Non,99.8
Adultes,18+,Koulsé,Femme,25,Hôte,Primaire,Non,99.5
Adultes,18+,Yaadga,Femme,50,Hôte,Primaire,Non,99.8
Adultes,18+,Yaadga,Femme,40,Hôte,Alphabétisation,Oui,99.7
Adultes,18+,Yaadga,Femme,36,Hôte,Primaire,Non,99.8
Adultes,18+,Yaadga,Femme,45,Hôte,Secondaire/Lycée,Non,99.5
Adultes,18+,Yaadga,Femme,38,Hôte,Primaire,Oui,99.8
