secteur,indicateur,dataset,region,sexe,statut_residence,valeur_modalite,n,total,pourcentage,unite
Protection,Statut matrimonial,Adultes,Yaadga,Homme,PDI,Célibataire,2,66,3.0,%
Protection,Statut matrimonial,Adultes,Yaadga,Homme,PDI,Marié.e monogame,31,66,47.0,%
Protection,Statut matrimonial,Adultes,Yaadga,Homme,PDI,Marié.e polygame,33,66,50.0,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Filles,Déplacé.e interne,Aucun,2,30,6.7,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Filles,Déplacé.e interne,Post-primaire,2,30,6.7,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Filles,Déplacé.e interne,Primaire,12,30,40.0,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Filles,Déplacé.e interne,Secondaire/Lycée,14,30,46.7,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Filles,Hôte,Aucun,6,49,12.2,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Filles,Hôte,Post-primaire,2,49,4.1,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Filles,Hôte,Primaire,8,49,16.3,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Filles,Hôte,Secondaire/Lycée,33,49,67.3,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Garçons,Déplacé.e interne,Aucun,15,37,40.5,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Garçons,Déplacé.e interne,Post-primaire,6,37,16.2,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Garçons,Déplacé.e interne,Primaire,9,37,24.3,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Garçons,Déplacé.e interne,Secondaire/Lycée,7,37,18.9,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Garçons,Hôte,Alphabétisation,2,49,4.1,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Garçons,Hôte,Aucun,14,49,28.6,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Garçons,Hôte,Post-primaire,2,49,4.1,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Garçons,Hôte,Primaire,13,49,26.5,%
Education,Niveau d’instruction,Adolescent.e.s,Bankui,Garçons,Hôte,Secondaire/Lycée,18,49,36.7,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Filles,Déplacé.e interne,Alphabétisation,1,42,2.4,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Filles,Déplacé.e interne,Aucun,14,42,33.3,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Filles,Déplacé.e interne,Post-primaire,13,42,31.0,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Filles,Déplacé.e interne,Primaire,7,42,16.7,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Filles,Déplacé.e interne,Secondaire/Lycée,7,42,16.7,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Filles,Hôte,Alphabétisation,1,68,1.5,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Filles,Hôte,Aucun,15,68,22.1,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Filles,Hôte,Post-primaire,19,68,27.9,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Filles,Hôte,Primaire,7,68,10.3,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Filles,Hôte,Secondaire/Lycée,26,68,38.2,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Garçons,Déplacé.e interne,Alphabétisation,2,52,3.8,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Garçons,Déplacé.e interne,Aucun,22,52,42.3,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Garçons,Déplacé.e interne,Post-primaire,9,52,17.3,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Garçons,Déplacé.e interne,Primaire,6,52,11.5,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Garçons,Déplacé.e interne,Secondaire/Lycée,12,52,23.1,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Garçons,Déplacé.e interne,École coranique,1,52,1.9,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Garçons,Hôte,Alphabétisation,2,89,2.2,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Garçons,Hôte,Aucun,23,89,25.8,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Garçons,Hôte,Post-primaire,25,89,28.1,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Garçons,Hôte,Primaire,10,89,11.2,%
Education,Niveau d’instruction,Adolescent.e.s,Goulmou,Garçons,Hôte,Secondaire/Lycée,29,89,32.6,%
Education,Niveau d’instruction,Adolescent.e.s,Kadiogo,Filles,Hôte,Aucun,4,111,3.6,%
Education,Niveau d’instruction,Adolescent.e.s,Kadiogo,Filles,Hôte,Post-primaire,19,111,17.1,%
Education,Niveau d’instruction,Adolescent.e.s,Kadiogo,Filles,Hôte,Primaire,15,111,13.5,%
Education,Niveau d’instruction,Adolescent.e.s,Kadiogo,Filles,Hôte,Secondaire/Lycée,73,111,65.8,%
Education,Niveau d’instruction,Adolescent.e.s,Kadiogo,Garçons,Hôte,Alphabétisation,2,165,1.2,%
Education,Niveau d’instruction,Adolescent.e.s,Kadiogo,Garçons,Hôte,Aucun,8,165,4.8,%
Education,Niveau d’instruction,Adolescent.e.s,Kadiogo,Garçons,Hôte,Post-primaire,38,165,23.0,%
Education,Niveau d’instruction,Adolescent.e.s,Kadiogo,Garçons,Hôte,Primaire,21,165,12.7,%
Education,Niveau d’instruction,Adolescent.e.s,Kadiogo,Garçons,Hôte,Secondaire/Lycée,96,165,58.2,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Filles,Déplacé.e interne,Alphabétisation,5,61,8.2,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Filles,Déplacé.e interne,Aucun,22,61,36.1,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Filles,Déplacé.e interne,Post-primaire,8,61,13.1,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Filles,Déplacé.e interne,Primaire,16,61,26.2,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Filles,Déplacé.e interne,Secondaire/Lycée,7,61,11.5,%
Education,Niveau d’instruction,Adolescent.e.s,Koulsé,Filles,Déplacé.e interne,École coranique,3,61,4.9,%
