secteur,indicateur,dataset,region,sexe,statut_residence,valeur_modalite,n,total,pourcentage,unite
Inclusion,Situation de handicap,Adolescent.e.s,Bankui,Garçons,Hôte,Oui,2,49,4.1,%
Inclusion,Situation de handicap,Adolescent.e.s,Goulmou,Filles,Déplacé.e interne,Non,41,42,97.6,%
Inclusion,Situation de handicap,Adolescent.e.s,Goulmou,Filles,Déplacé.e interne,Oui,1,42,2.4,%
Inclusion,Situation de handicap,Adolescent.e.s,Goulmou,Filles,Hôte,Non,67,68,98.5,%
Inclusion,Situation de handicap,Adolescent.e.s,Goulmou,Filles,Hôte,Oui,1,68,1.5,%
Inclusion,Situation de handicap,Adolescent.e.s,Goulmou,Garçons,Déplacé.e interne,Non,51,52,98.1,%
Inclusion,Situation de handicap,Adolescent.e.s,Goulmou,Garçons,Déplacé.e interne,Oui,1,52,1.9,%
Inclusion,Situation de handicap,Adolescent.e.s,Goulmou,Garçons,Hôte,Non,86,89,96.6,%
Inclusion,Situation de handicap,Adolescent.e.s,Goulmou,Garçons,Hôte,Oui,3,89,3.4,%
Inclusion,Situation de handicap,Adolescent.e.s,Kadiogo,Filles,Hôte,Non,106,111,95.5,%
Inclusion,Situation de handicap,Adolescent.e.s,Kadiogo,Filles,Hôte,Oui,5,111,4.5,%
Inclusion,Situation de handicap,Adolescent.e.s,Kadiogo,Garçons,Hôte,Non,161,165,97.6,%
Inclusion,Situation de handicap,Adolescent.e.s,Kadiogo,Garçons,Hôte,Oui,4,165,2.4,%
Inclusion,Situation de handicap,Adolescent.e.s,Koulsé,Filles,Déplacé.e interne,Non,59,61,96.7,%
Inclusion,Situation de handicap,Adolescent.e.s,Koulsé,Filles,Déplacé.e interne,Oui,2,61,3.3,%
Inclusion,Situation de handicap,Adolescent.e.s,Koulsé,Filles,Hôte,Non,84,88,95.5,%
Inclusion,Situation de handicap,Adolescent.e.s,Koulsé,Filles,Hôte,Oui,4,88,4.5,%
Inclusion,Situation de handicap,Adolescent.e.s,Koulsé,Garçons,Déplacé.e interne,Non,61,65,93.8,%
Inclusion,Situation de handicap,Adolescent.e.s,Koulsé,Garçons,Déplacé.e interne,Oui,4,65,6.2,%
Inclusion,Situation de handicap,Adolescent.e.s,Koulsé,Garçons,Hôte,Non,93,95,97.9,%
Inclusion,Situation de handicap,Adolescent.e.s,Koulsé,Garçons,Hôte,Oui,2,95,2.1,%
Inclusion,Situation de handicap,Adolescent.e.s,Liptako,Filles,Déplacé.e interne,Non,35,38,92.1,%
Inclusion,Situation de handicap,Adolescent.e.s,Liptako,Filles,Déplacé.e interne,Oui,3,38,7.9,%
Inclusion,Situation de handicap,Adolescent.e.s,Liptako,Filles,Hôte,Non,66,73,90.4,%
Inclusion,Situation de handicap,Adolescent.e.s,Liptako,Filles,Hôte,Oui,7,73,9.6,%
Inclusion,Situation de handicap,Adolescent.e.s,Liptako,Filles,Retour volontaire,Non,3,3,100.0,%
Inclusion,Situation de handicap,Adolescent.e.s,Liptako,Garçons,Déplacé.e interne,Non,48,48,100.0,%
Inclusion,Situation de handicap,Adolescent.e.s,Liptako,Garçons,Hôte,Non,57,61,93.4,%
Inclusion,Situation de handicap,Adolescent.e.s,Liptako,Garçons,Hôte,Oui,4,61,6.6,%
Inclusion,Situation de handicap,Adolescent.e.s,Liptako,Garçons,Retour volontaire,Non,1,1,100.0,%
Inclusion,Situation de handicap,Adolescent.e.s,Nakambé,Filles,Déplacé.e interne,Non,53,57,93.0,%
Inclusion,Situation de handicap,Adolescent.e.s,Nakambé,Filles,Déplacé.e interne,Oui,4,57,7.0,%
Inclusion,Situation de handicap,Adolescent.e.s,Nakambé,Filles,Hôte,Non,76,82,92.7,%
Inclusion,Situation de handicap,Adolescent.e.s,Nakambé,Filles,Hôte,Oui,6,82,7.3,%
Inclusion,Situation de handicap,Adolescent.e.s,Nakambé,Garçons,Déplacé.e interne,Non,58,59,98.3,%
Inclusion,Situation de handicap,Adolescent.e.s,Nakambé,Garçons,Déplacé.e interne,Oui,1,59,1.7,%
Inclusion,Situation de handicap,Adolescent.e.s,Nakambé,Garçons,Hôte,Non,88,94,93.6,%
Inclusion,Situation de handicap,Adolescent.e.s,Nakambé,Garçons,Hôte,Oui,6,94,6.4,%
Inclusion,Situation de handicap,Adolescent.e.s,Yaadga,Filles,Déplacé.e interne,Non,65,68,95.6,%
Inclusion,Situation de handicap,Adolescent.e.s,Yaadga,Filles,Déplacé.e interne,Oui,3,68,4.4,%
Inclusion,Situation de handicap,Adolescent.e.s,Yaadga,Filles,Hôte,Non,94,103,91.3,%
Inclusion,Situation de handicap,Adolescent.e.s,Yaadga,Filles,Hôte,Oui,9,103,8.7,%
Inclusion,Situation de handicap,Adolescent.e.s,Yaadga,Filles,Retour volontaire,Non,1,1,100.0,%
Inclusion,Situation de handicap,Adolescent.e.s,Yaadga,Garçons,Déplacé.e interne,Non,71,75,94.7,%
Inclusion,Situation de handicap,Adolescent.e.s,Yaadga,Garçons,Déplacé.e interne,Oui,4,75,5.3,%
Inclusion,Situation de handicap,Adolescent.e.s,Yaadga,Garçons,Hôte,Non,94,100,94.0,%
Inclusion,Situation de handicap,Adolescent.e.s,Yaadga,Garçons,Hôte,Oui,6,100,6.0,%
Protection,Violence ou menace subie,Adolescent.e.s,Bankui,Filles,Déplacé.e interne,Non,30,30,100.0,%
Protection,Violence ou menace subie,Adolescent.e.s,Bankui,Filles,Hôte,Non,49,49,100.0,%
Protection,Violence ou menace subie,Adolescent.e.s,Bankui,Garçons,Déplacé.e interne,Non,32,37,86.5,%
Protection,Violence ou menace subie,Adolescent.e.s,Bankui,Garçons,Déplacé.e interne,Oui,5,37,13.5,%
Protection,Violence ou menace subie,Adolescent.e.s,Bankui,Garçons,Hôte,Non,46,49,93.9,%
Protection,Violence ou menace subie,Adolescent.e.s,Bankui,Garçons,Hôte,Oui,3,49,6.1,%
Protection,Violence ou menace subie,Adolescent.e.s,Goulmou,Filles,Déplacé.e interne,Non,40,42,95.2,%
Protection,Violence ou menace subie,Adolescent.e.s,Goulmou,Filles,Déplacé.e interne,Oui,2,42,4.8,%
Protection,Violence ou menace subie,Adolescent.e.s,Goulmou,Filles,Hôte,Non,66,68,97.1,%
Protection,Violence ou menace subie,Adolescent.e.s,Goulmou,Filles,Hôte,Oui,2,68,2.9,%
Protection,Violence ou menace subie,Adolescent.e.s,Goulmou,Garçons,Déplacé.e interne,Non,46,52,88.5,%
Protection,Violence ou menace subie,Adolescent.e.s,Goulmou,Garçons,Déplacé.e interne,Oui,6,52,11.5,%
Protection,Violence ou menace subie,Adolescent.e.s,Goulmou,Garçons,Hôte,Non,80,89,89.9,%
Protection,Violence ou menace subie,Adolescent.e.s,Goulmou,Garçons,Hôte,Oui,9,89,10.1,%
Protection,Violence ou menace subie,Adolescent.e.s,Kadiogo,Filles,Hôte,Non,104,111,93.7,%
Protection,Violence ou menace subie,Adolescent.e.s,Kadiogo,Filles,Hôte,Oui,7,111,6.3,%
Protection,Violence ou menace subie,Adolescent.e.s,Kadiogo,Garçons,Hôte,Non,158,165,95.8,%
Protection,Violence ou menace subie,Adolescent.e.s,Kadiogo,Garçons,Hôte,Oui,7,165,4.2,%
Protection,Violence ou menace subie,Adolescent.e.s,Koulsé,Filles,Déplacé.e interne,Non,61,61,100.0,%
Protection,Violence ou menace subie,Adolescent.e.s,Koulsé,Filles,Hôte,Non,88,88,100.0,%
Protection,Violence ou menace subie,Adolescent.e.s,Koulsé,Garçons,Déplacé.e interne,Non,59,65,90.8,%
Protection,Violence ou menace subie,Adolescent.e.s,Koulsé,Garçons,Déplacé.e interne,Oui,6,65,9.2,%
Protection,Violence ou menace subie,Adolescent.e.s,Koulsé,Garçons,Hôte,Non,81,95,85.3,%
Protection,Violence ou menace subie,Adolescent.e.s,Koulsé,Garçons,Hôte,Oui,14,95,14.7,%
Protection,Violence ou menace subie,Adolescent.e.s,Liptako,Filles,Déplacé.e interne,Non,37,38,97.4,%
Protection,Violence ou menace subie,Adolescent.e.s,Liptako,Filles,Déplacé.e interne,Oui,1,38,2.6,%
Protection,Violence ou menace subie,Adolescent.e.s,Liptako,Filles,Hôte,Non,71,73,97.3,%
Protection,Violence ou menace subie,Adolescent.e.s,Liptako,Filles,Hôte,Oui,2,73,2.7,%
Protection,Violence ou menace subie,Adolescent.e.s,Liptako,Filles,Retour volontaire,Non,3,3,100.0,%
Protection,Violence ou menace subie,Adolescent.e.s,Liptako,Garçons,Déplacé.e interne,Non,41,48,85.4,%
Protection,Violence ou menace subie,Adolescent.e.s,Liptako,Garçons,Déplacé.e interne,Oui,7,48,14.6,%
Protection,Violence ou menace subie,Adolescent.e.s,Liptako,Garçons,Hôte,Non,54,61,88.5,%
Protection,Violence ou menace subie,Adolescent.e.s,Liptako,Garçons,Hôte,Oui,7,61,11.5,%
Protection,Violence ou menace subie,Adolescent.e.s,Liptako,Garçons,Retour volontaire,Oui,1,1,100.0,%
Protection,Violence ou menace subie,Adolescent.e.s,Nakambé,Filles,Déplacé.e interne,Non,56,57,98.2,%
Protection,Violence ou menace subie,Adolescent.e.s,Nakambé,Filles,Déplacé.e interne,Oui,1,57,1.8,%
Protection,Violence ou menace subie,Adolescent.e.s,Nakambé,Filles,Hôte,Non,76,82,92.7,%
Protection,Violence ou menace subie,Adolescent.e.s,Nakambé,Filles,Hôte,Oui,6,82,7.3,%
Protection,Violence ou menace subie,Adolescent.e.s,Nakambé,Garçons,Déplacé.e interne,Non,51,59,86.4,%
Protection,Violence ou menace subie,Adolescent.e.s,Nakambé,Garçons,Déplacé.e interne,Oui,8,59,13.6,%
Protection,Violence ou menace subie,Adolescent.e.s,Nakambé,Garçons,Hôte,Non,90,94,95.7,%
Protection,Violence ou menace subie,Adolescent.e.s,Nakambé,Garçons,Hôte,Oui,4,94,4.3,%
Protection,Violence ou menace subie,Adolescent.e.s,Yaadga,Filles,Déplacé.e interne,Non,64,68,94.1,%
Protection,Violence ou menace subie,Adolescent.e.s,Yaadga,Filles,Déplacé.e interne,Oui,4,68,5.9,%
Protection,Violence ou menace subie,Adolescent.e.s,Yaadga,Filles,Hôte,Non,94,103,91.3,%
Protection,Violence ou menace subie,Adolescent.e.s,Yaadga,Filles,Hôte,Oui,9,103,8.7,%
Protection,Violence ou menace subie,Adolescent.e.s,Yaadga,Filles,Retour volontaire,Non,1,1,100.0,%
Protection,Violence ou menace subie,Adolescent.e.s,Yaadga,Garçons,Déplacé.e interne,Non,65,75,86.7,%
Protection,Violence ou menace subie,Adolescent.e.s,Yaadga,Garçons,Déplacé.e interne,Oui,10,75,13.3,%
Protection,Violence ou menace subie,Adolescent.e.s,Yaadga,Garçons,Hôte,Non,90,100,90.0,%
Protection,Violence ou menace subie,Adolescent.e.s,Yaadga,Garçons,Hôte,Oui,10,100,10.0,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Bankui,Filles,Déplacé.e interne,Non,18,30,60.0,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Bankui,Filles,Déplacé.e interne,Oui,12,30,40.0,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Bankui,Filles,Hôte,Non,17,49,34.7,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Bankui,Filles,Hôte,Oui,32,49,65.3,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Bankui,Garçons,Déplacé.e interne,Non,30,37,81.1,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Bankui,Garçons,Déplacé.e interne,Oui,7,37,18.9,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Bankui,Garçons,Hôte,Non,36,49,73.5,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Bankui,Garçons,Hôte,Oui,13,49,26.5,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Goulmou,Filles,Déplacé.e interne,Non,25,42,59.5,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Goulmou,Filles,Déplacé.e interne,Oui,17,42,40.5,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Goulmou,Filles,Hôte,Non,24,68,35.3,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Goulmou,Filles,Hôte,Oui,44,68,64.7,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Goulmou,Garçons,Déplacé.e interne,Non,38,52,73.1,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Goulmou,Garçons,Déplacé.e interne,Oui,14,52,26.9,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Goulmou,Garçons,Hôte,Non,47,89,52.8,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Goulmou,Garçons,Hôte,Oui,42,89,47.2,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Kadiogo,Filles,Hôte,Non,36,111,32.4,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Kadiogo,Filles,Hôte,Oui,75,111,67.6,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Kadiogo,Garçons,Hôte,Non,67,165,40.6,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Kadiogo,Garçons,Hôte,Oui,98,165,59.4,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Koulsé,Filles,Déplacé.e interne,Non,46,61,75.4,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Koulsé,Filles,Déplacé.e interne,Oui,15,61,24.6,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Koulsé,Filles,Hôte,Non,47,88,53.4,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Koulsé,Filles,Hôte,Oui,41,88,46.6,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Koulsé,Garçons,Déplacé.e interne,Non,56,65,86.2,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Koulsé,Garçons,Déplacé.e interne,Oui,9,65,13.8,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Koulsé,Garçons,Hôte,Non,61,95,64.2,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Koulsé,Garçons,Hôte,Oui,34,95,35.8,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Liptako,Filles,Déplacé.e interne,Non,33,38,86.8,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Liptako,Filles,Déplacé.e interne,Oui,5,38,13.2,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Liptako,Filles,Hôte,Non,44,73,60.3,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Liptako,Filles,Hôte,Oui,29,73,39.7,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Liptako,Filles,Retour volontaire,Non,1,3,33.3,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Liptako,Filles,Retour volontaire,Oui,2,3,66.7,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Liptako,Garçons,Déplacé.e interne,Non,40,48,83.3,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Liptako,Garçons,Déplacé.e interne,Oui,8,48,16.7,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Liptako,Garçons,Hôte,Non,35,61,57.4,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Liptako,Garçons,Hôte,Oui,26,61,42.6,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Liptako,Garçons,Retour volontaire,Non,1,1,100.0,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Nakambé,Filles,Déplacé.e interne,Non,39,57,68.4,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Nakambé,Filles,Déplacé.e interne,Oui,18,57,31.6,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Nakambé,Filles,Hôte,Non,30,82,36.6,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Nakambé,Filles,Hôte,Oui,52,82,63.4,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Nakambé,Garçons,Déplacé.e interne,Non,50,59,84.7,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Nakambé,Garçons,Déplacé.e interne,Oui,9,59,15.3,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Nakambé,Garçons,Hôte,Non,54,94,57.4,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Nakambé,Garçons,Hôte,Oui,40,94,42.6,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Yaadga,Filles,Déplacé.e interne,Non,56,68,82.4,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Yaadga,Filles,Déplacé.e interne,Oui,12,68,17.6,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Yaadga,Filles,Hôte,Non,58,103,56.3,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Yaadga,Filles,Hôte,Oui,45,103,43.7,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Yaadga,Filles,Retour volontaire,Non,1,1,100.0,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Yaadga,Garçons,Déplacé.e interne,Non,61,75,81.3,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Yaadga,Garçons,Déplacé.e interne,Oui,14,75,18.7,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Yaadga,Garçons,Hôte,Non,70,100,70.0,%
Education,Fréquentation scolaire actuelle,Adolescent.e.s,Yaadga,Garçons,Hôte,Oui,30,100,30.0,%
